id,news_source,label,title,text,url,image_url,published_at
politifact-fake-001,politifact,fake,Officials announce free electricity for every household next month,A widely shared post claims the government will supply electricity at no cost to all homes starting next month. No official source confirms the measure.,https://example-news.org/politifact/free-electricity,https://picsum.photos/seed/free-electricity/800/600.jpg,2026-05-02T09:00:00Z
politifact-real-002,politifact,real,Central bank keeps its key interest rate unchanged,"The central bank confirmed during its scheduled meeting that the main policy rate stays the same, citing stable inflation expectations.",https://example-news.org/politifact/rate-unchanged,https://picsum.photos/seed/rate-unchanged/800/600.jpg,2026-05-03T09:00:00Z
politifact-fake-003,politifact,fake,Viral image claims a new law bans all private cars in the capital,An edited screenshot circulating online states that private vehicles are now forbidden downtown. City officials have issued no such regulation.,https://example-news.org/politifact/ban-private-cars,https://picsum.photos/seed/ban-private-cars/800/600.jpg,2026-05-04T09:00:00Z
politifact-real-004,politifact,real,National weather agency issues a storm warning for the coast,The meteorological service published an official alert ahead of strong winds expected along the coastline this weekend.,https://example-news.org/politifact/storm-warning,https://picsum.photos/seed/storm-warning/800/600.jpg,2026-05-05T09:00:00Z
politifact-fake-005,politifact,fake,Post says a common spice was secretly approved as a vaccine,A misleading article asserts that a kitchen spice received medical approval as a vaccine. Health authorities have not made any such statement.,https://example-news.org/politifact/spice-vaccine,https://picsum.photos/seed/spice-vaccine/800/600.jpg,2026-05-06T09:00:00Z
politifact-real-006,politifact,real,Parliament passes the annual budget after final vote,"Lawmakers approved the yearly budget following the concluding session, with the text now moving to publication.",https://example-news.org/politifact/budget-passed,https://picsum.photos/seed/budget-passed/800/600.jpg,2026-05-07T09:00:00Z
politifact-fake-007,politifact,fake,Rumor claims the moon will disappear for a full week,Several accounts spread the claim that the moon will be invisible for seven days. Astronomers confirm no such event is possible.,https://example-news.org/politifact/moon-disappear,https://picsum.photos/seed/moon-disappear/800/600.jpg,2026-05-08T09:00:00Z
politifact-real-008,politifact,real,Transport ministry launches a new high-speed rail line,"The ministry inaugurated a high-speed connection between two major cities, reducing the travel time significantly.",https://example-news.org/politifact/rail-line,https://picsum.photos/seed/rail-line/800/600.jpg,2026-05-09T09:00:00Z
gossipcop-fake-009,gossipcop,fake,Celebrity reportedly buys an entire private island overnight,A tabloid-style post claims a famous singer purchased a whole island in a single day. Representatives have not confirmed the story.,https://example-news.org/gossipcop/private-island,https://picsum.photos/seed/private-island/800/600.jpg,2026-05-10T09:00:00Z
gossipcop-real-010,gossipcop,real,Award ceremony announces this year's list of nominees,Organizers released the official nominee list for the upcoming ceremony across the main film categories.,https://example-news.org/gossipcop/award-nominees,https://picsum.photos/seed/award-nominees/800/600.jpg,2026-05-11T09:00:00Z
gossipcop-fake-011,gossipcop,fake,Actor allegedly quits acting to become a full-time astronaut,A viral article states that a well-known actor abandoned cinema to join a space program. No agency has corroborated the claim.,https://example-news.org/gossipcop/actor-astronaut,https://picsum.photos/seed/actor-astronaut/800/600.jpg,2026-05-12T09:00:00Z
gossipcop-real-012,gossipcop,real,Music festival confirms its headliners for the summer edition,The festival's organizing team officially announced the main performers scheduled for the summer line-up.,https://example-news.org/gossipcop/festival-headliners,https://picsum.photos/seed/festival-headliners/800/600.jpg,2026-05-13T09:00:00Z
gossipcop-fake-013,gossipcop,fake,Photo claims two rival stars secretly opened a restaurant together,An unverified post asserts that two competing celebrities co-own a new restaurant. Neither party has acknowledged the rumor.,https://example-news.org/gossipcop/rival-restaurant,https://picsum.photos/seed/rival-restaurant/800/600.jpg,2026-05-14T09:00:00Z
